"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"ASW193608230","byrdb101","ASE","2","value","9","0","15","5","0","0","0","1","1","1","0","2","0","0","0","0","0","0","0","0","","","","","","","19360823","0","CHI10","ASW","w","allstar","y"
"PH5193609170","byrdb101","WEG","1","value","18","","25","6","","","0","4","","2","","","0","0","0","0","","","","","1","","","1","","","19360917","0","PHI17","PH5","w","championship","y"
"PH5193609201","byrdb101","WEG","1","value","27","","38","11","0","0","0","3","","1","","0","0","0","0","0","","","","","1","","","1","","1","19360920","1","NYC14","PH5","w","exhibition","y"
"BLG193805011","byrdb101","BLG","1","value","27","","35","8","2","0","0","4","","0","","4","1","","","2","","0","","","1","","","1","","1","19380501","1","NSH02","PH5","w","exhibition","y"
"PH5193805160","byrdb101","BLG","2","value","23","","","","","","","5","","","","","","","","","","","","","","","","","1","","19380516","0","CHE02","PH5","l","regular",""
"PH5193805160","byrdb101","BLG","2","lower","22","","","","","","","5","","","","","","","","","","","","","","","","","1","","19380516","0","CHE02","PH5","l","regular",""
"PH5193805160","byrdb101","BLG","2","upper","24","","","","","","","9","","","","","","","","","","","","","","","","","1","","19380516","0","CHE02","PH5","l","regular",""
"BLG193807101","byrdb101","BLG","2","value","21","","31","8","","","","6","","2","","","0","","","","","","","","","1","","","1","","19380710","1","BAL14","HOM","l","regular","y"
"PH5193808040","byrdb101","BLG","1","value","27","","36","9","","","","4","","","","","","","","","","","","","1","","","1","1","1","19380804","0","PHI17","PH5","w","regular","y"
"PTC193808250","byrdb101","BLG","1","value","24","","","","","","","5","","","","","","","","","","","","","","1","","1","","1","19380825","0","COL05","PTC","l","regular",""
"SAS193810020","byrdb101","NAS","1","value","8","0","13","3","0","0","0","1","0","0","0","2","0","0","0","0","0","1","0","0","","1","","1","","","19381002","0","MEM02","SAS","l","allstar","y"
