"gid","visteam","hometeam","site","date","number","starttime","daynight","innings","tiebreaker","usedh","htbf","timeofgame","attendance","fieldcond","precip","sky","temp","winddir","windspeed","oscorer","forfeit","umphome","ump1b","ump2b","ump3b","umplf","umprf","wp","lp","save","gametype","vruns","hruns","wteam","lteam","line","batteries","lineups","box","season"
"JAX194104060","KCM","JAX","JKV01","19410406","0","","","","","","","","","","","","","","","","","","","","","","","","","","exhibition","2","10","JAX","KCM","","","","","1941"
"JAX194104140","KCM","JAX","JKV01","19410414","0","","","","","","","","","","","","","","","","","","","","","","","","","","exhibition","2","2","","","","","","","1941"
"JAX194104270","SNO","JAX","JKV01","19410427","0","","","","","","","","","","","","","","","","","","","","","","","","","","exhibition","1","1","","","","","","","1941"
"SNO194105111","JAX","SNO","NOL01","19410511","1","","day","","","","","140","","","","","","","","","","ronzu901","auguu901","","","","","henrp101","mcalf101","","regular","5","3","JAX","SNO","y","both","y","y","1941"
"SNO194105112","JAX","SNO","NOL01","19410511","2","","night","7","","","","120","","","","","","","","","","ronzu901","auguu901","","","","","sarva101","calhl101","","regular","5","2","JAX","SNO","y","both","y","y","1941"
"SNO194105130","JAX","SNO","NOL01","19410513","0","","night","","","","","","3000","","","","","","","","","auguu901","","benju901","","","","brooa102","barnd101","","regular","7","5","JAX","SNO","y","both","y","y","1941"
"JAX194105140","SNO","JAX","LKC01","19410514","0","","night","","","","","","","","","","","","","","","","","","","","","mcalf101","alleh106","","regular","5","4","SNO","JAX","y","both","","","1941"
"BIR194105240","JAX","BIR","ANN01","19410524","0","","","","","","","","","","","","","","","","","","","","","","","jessg101","alleh106","","regular","3","5","BIR","JAX","y","both","y","y","1941"
"BIR194105251","JAX","BIR","BIR01","19410525","1","2:00pm","day","","","","","","4200","","","","","","","","","mooru901","willp103","","","","","mckig101","sarva101","","regular","2","7","BIR","JAX","y","both","y","y","1941"
"BIR194105252","JAX","BIR","BIR01","19410525","2","","night","7","","","","","","","","","","","","","","","","","","","","markj101","brooa102","","regular","5","6","BIR","JAX","y","both","y","y","1941"
"BIR194105260","JAX","BIR","BIR01","19410526","0","","night","","","","","","","","","","","","","","","","","","","","","jessg101","ellis102","","regular","1","5","BIR","JAX","y","both","","","1941"
"MEM194105280","JAX","MEM","GRE01","19410528","0","","","","","","","","","","","","","","","","","","","","","","","","","","regular","3","4","MEM","JAX","","","","","1941"
"MEM194105290","JAX","MEM","MEM02","19410529","0","","","","","","","","","","","","","","","","","","","","","","","","","","regular","2","3","MEM","JAX","","","","","1941"
"KCM194106011","JAX","KCM","KAN05","19410601","1","","day","","","","","","7500","","","","","","","","","boonu901","rogab101","","","","","henrp101","walkg103","","regular","3","1","JAX","KCM","y","both","y","y","1941"
"KCM194106012","JAX","KCM","KAN05","19410601","2","","day","7","","","","","7500","","","","","","","","","","","","","","","smith111","sarva101","","regular","3","9","KCM","JAX","y","both","y","y","1941"
"KCM194106020","JAX","KCM","JNC01","19410602","0","","","","","","","","","","","","","","","","","","","","","","","bradf104","brooa102","","regular","4","7","KCM","JAX","y","both","","","1941"
"KCM194106030","JAX","KCM","OKC02","19410603","0","","","","","","","","","","","","","","","","","","","","","","","mcdab101","ellis102","","regular","0","4","KCM","JAX","y","both","","","1941"
"KCM194106050","JAX","KCM","OKC02","19410605","0","","night","","","","","","1250","","","","","","","","","","","","","","","bradf104","henrp101","","regular","0","3","KCM","JAX","y","both","","","1941"
"SNO194106081","JAX","SNO","LRK02","19410608","1","","day","","","","","","","","","","","","","","","","","","","","","mcalf101","henrp101","","regular","3","4","SNO","JAX","y","both","","","1941"
"SNO194106082","JAX","SNO","LRK02","19410608","2","","night","","","","","","","","","","","","","","","","","","","","","parkt101","alleh106","","regular","0","15","SNO","JAX","y","both","","","1941"
