"gid","visteam","hometeam","site","date","number","starttime","daynight","innings","tiebreaker","usedh","htbf","timeofgame","attendance","fieldcond","precip","sky","temp","winddir","windspeed","oscorer","forfeit","umphome","ump1b","ump2b","ump3b","umplf","umprf","wp","lp","save","gametype","vruns","hruns","wteam","lteam","line","batteries","lineups","box","season"
"BIR194504160","CIA","BIR","MTG01","19450416","0","","","","","","","","","","","","","","","","","","","","","","","boona101","davir103","","exhibition","3","9","BIR","CIA","y","both","","","1945"
"BIR194504180","CIA","BIR","ATL04","19450418","0","","night","","","","","","2000","","","","","","","","","","","","","","","smito102","welmr101","","exhibition","4","0","CIA","BIR","y","p","","","1945"
"KCM194504220","CIA","KCM","NOL01","19450422","0","","","","","","","98","","","","","","","","","","lewiu901","joneu901","taylb108","auguu901","","","smith111","willj112","","exhibition","0","4","KCM","CIA","y","both","y","y","1945"
"KCM194504250","CIA","KCM","HOU04","19450425","0","","","","","","","","","","","","","","","","","","","","","","","mcdab101","davir103","","exhibition","2","3","KCM","CIA","y","both","","","1945"
"KCM194504260","CIA","KCM","HOU04","19450426","0","","","","","","","","","","","","","","","","","","","","","","","","","","exhibition","5","3","CIA","KCM","","","","","1945"
"CIA194504270","KCM","CIA","SAT01","19450427","0","","night","","","","","","1232","","","","","","","","","","","","","","","smito102","wylis101","","exhibition","7","8","CIA","KCM","y","both","","","1945"
"KCM194504280","CIA","KCM","SAT01","19450428","0","","night","","","","","","993","","","","","","","","","","","","","","","","","","exhibition","8","4","CIA","KCM","","","","","1945"
"KCM194504290","CIA","KCM","HOU04","19450429","0","","night","","","","","","","","","","","","","","","","","","","","","mcdab101","davir103","","exhibition","2","4","KCM","CIA","y","both","","","1945"
"CIA194504300","KCM","CIA","HOU04","19450430","0","","","","","","","","","","","","","","","","","","","","","","","wilsf104","wylis101","","exhibition","7","8","CIA","KCM","y","both","","","1945"
"CIA194505020","KCM","CIA","FTW01","19450502","0","","","","","","","","4000","","","","","","","","","","","","","","","mcdab101","","","exhibition","10","2","KCM","CIA","y","both","","","1945"
"KCM194505030","CIA","KCM","DAL01","19450503","0","","night","","","","","","","","","","","","","","","","","","","","","","","","exhibition","2","11","KCM","CIA","y","both","","","1945"
"KCM194505040","CIA","KCM","OKC02","19450504","0","","night","","","","","","2500","","","","","","","","","","","","","","","wylis101","smito102","","exhibition","9","10","KCM","CIA","y","both","y","y","1945"
"MEM194505061","CIA","MEM","MEM03","19450506","1","","day","","","","","","","","","","","","","","","","","","","","","jonea103","watsa102","keyer101","regular","5","6","MEM","CIA","y","both","y","y","1945"
"MEM194505062","CIA","MEM","MEM03","19450506","2","","day","","","","","","","","","","","","","","","","","","","","","mathv101","wilsf104","","regular","3","4","MEM","CIA","y","both","","","1945"
"CIA194505131","MEM","CIA","CIN07","19450513","1","","","","","","","","7500","","","","","","","","","","","","","","","mathv101","willj112","","regular","3","2","MEM","CIA","y","both","","","1945"
"CIA194505132","MEM","CIA","CIN07","19450513","2","","","","","","","","7500","","","","","","","","","","","","","","","davir103","jonea103","","regular","1","6","CIA","MEM","y","both","","","1945"
"CIA194505190","MEM","CIA","IND10","19450519","0","","","","","","","","","","","","","","","","","","","","","","","watsa102","chate101","","regular","2","5","CIA","MEM","","both","","","1945"
"CIA194505201","CVB","CIA","CIN07","19450520","1","","","","","","","","","","","","","","","","","","","","","","","jeffg102","wilsf104","","regular","4","0","CVB","CIA","y","both","","","1945"
