"gid","visteam","hometeam","site","date","number","starttime","daynight","innings","tiebreaker","usedh","htbf","timeofgame","attendance","fieldcond","precip","sky","temp","winddir","windspeed","oscorer","forfeit","umphome","ump1b","ump2b","ump3b","umplf","umprf","wp","lp","save","gametype","vruns","hruns","wteam","lteam","line","batteries","lineups","box","season"
"HOM194104170","NY6","HOM","MAC01","19410417","0","","night","","","","","","","","","","","","","","","","","","","","","mcdut101","","","exhibition","4","13","HOM","NY6","","","","","1941"
"MEM194104201","NY6","MEM","MEM02","19410420","1","","day","","","","","","","","","","","","","","","","","","","","","mossp101","barnd101","","exhibition","2","7","MEM","NY6","y","both","","","1941"
"MEM194104202","NY6","MEM","MEM02","19410420","2","","day","","","","","","","","","","","","","","","","","","","","","","","","exhibition","4","4","","","y","both","","","1941"
"NY5194104270","NY6","NY5","PTR01","19410427","0","","day","","","","","135","500","","","","","","","","","","","","","","","hollb106","andeb106","","exhibition","9","12","NY5","NY6","y","both","y","y","1941"
"NY6194104271","MEM","NY6","LRK02","19410427","1","","day","","","","","","2000","","","","","","","","","","","","","","","","ruizs101","","exhibition","7","4","MEM","NY6","y","both","","","1941"
"MEM194104272","NY6","MEM","LRK02","19410427","2","","","","","","","","2000","","","","","","","","","","","","","","","andeb106","","","exhibition","8","1","NY6","MEM","y","both","","","1941"
"NW2194105080","NY6","NW2","NOR02","19410508","0","","night","","","","","","","","","","","","","","","","","","","","","hobgf101","andeb106","","exhibition","0","3","NW2","NY6","y","both","y","y","1941"
"PH5194105100","NY6","PH5","PHI17","19410510","0","","day","","","","","","3000","","","","","","","","","turnc101","cockp101","","","","","ruizs101","mcheh101","","regular","6","3","NY6","PH5","y","both","y","y","1941"
"NW2194105110","NY6","NW2","NWK04","19410511","0","","day","","","","","","12500","","","","","","","","","turnc101","crawj902","","","","","barnd101","day-l101","","regular","10","7","NY6","NW2","y","both","y","y","1941"
"NW2194105150","NY6","NW2","NWK04","19410515","0","","","","","","","","","","","","","","","","","","","","","","","hookl101","andeb106","","regular","7","10","NW2","NY6","y","both","y","y","1941"
"HOM194105241","NY6","HOM","PIT06","19410524","1","","","","","","","","","","","","","","","","","harrw102","harrm103","","","","","mcdut101","andeb106","","regular","1","2","HOM","NY6","y","both","y","y","1941"
"HOM194105242","NY6","HOM","PIT06","19410524","2","","","","","","","","","","","","","","","","","harrm103","harrw102","","","","","browr103","howac102","","regular","7","8","HOM","NY6","y","both","y","y","1941"
"HOM194105251","NY6","HOM","WAS09","19410525","1","","day","","","","","","2200","","","","","","","","","mccrf901","kempe101","","","","","barnd101","browr103","","regular","2","1","NY6","HOM","y","both","y","y","1941"
"HOM194105252","NY6","HOM","WAS09","19410525","2","","night","7","","","","","2200","","","","","","","","","mccrf901","kempe101","","","","","howac102","faziu101","","regular","11","2","NY6","HOM","y","both","y","y","1941"
