"gid","visteam","hometeam","site","date","number","starttime","daynight","innings","tiebreaker","usedh","htbf","timeofgame","attendance","fieldcond","precip","sky","temp","winddir","windspeed","oscorer","forfeit","umphome","ump1b","ump2b","ump3b","umplf","umprf","wp","lp","save","gametype","vruns","hruns","wteam","lteam","line","batteries","lineups","box","season"
"KCM194804110","IN9","KCM","AUS01","19480411","0","","day","","","","","150","3565","","","","","","","","","taylb108","pilgu901","","","","","lamaj102","henrp101","","exhibition","5","6","KCM","IN9","y","both","y","y","1948"
"IN9194804150","KCM","IN9","JAC01","19480415","0","","","","","","","","","","","","","","","","","","","","","","","smith111","","","exhibition","12","7","KCM","IN9","","","","","1948"
"BIR194804181","IN9","BIR","BIR01","19480418","1","","","","","","","150","10000","","","","","","","","","moorc901","austu901","Poindxtr","","","","poweb103","cathw101","","exhibition","4","7","BIR","IN9","y","both","y","y","1948"
"BIR194804182","IN9","BIR","BIR01","19480418","2","","","","","","","","10000","","","","","","","","","","","","","","","","","","exhibition","1","1","","","y","both","","","1948"
"BIR194804220","IN9","BIR","MTG01","19480422","0","","night","","","","","","2500","","","","","","","","","","","","","","","","","","exhibition","13","9","IN9","BIR","y","both","","","1948"
"BIR194804230","IN9","BIR","NOL01","19480423","0","","night","","","","","","6000","","","","","","","","","","","","","","","newbj101","","","exhibition","0","3","BIR","IN9","y","both","","","1948"
"KCM194804240","IN9","KCM","HOU04","19480424","0","","","","","","","","","","","","","","","","","","","","","","","cabrl101","collg101","","exhibition","8","5","IN9","KCM","y","both","","","1948"
"IN9194804250","KCM","IN9","HOU04","19480425","0","","night","","","","","","","","","","","","","","","","","","","","","johnc103","cohej101","","exhibition","17","5","KCM","IN9","y","both","","","1948"
"KCM194804280","IN9","KCM","OKC02","19480428","0","","night","","","","","","","","","","","","","","","","","","","","","stubm102","garca101","","exhibition","2","8","KCM","IN9","y","both","","","1948"
"KCM194804290","IN9","KCM","OKC02","19480429","0","","night","","","","","","","","","","","","","","","","","","","","","bennj102","willu103","","exhibition","7","2","IN9","KCM","y","both","","","1948"
"KCM194804300","IN9","KCM","DAL01","19480430","0","","","","","","","","","","","","","","","","","","","","","","","lamaj102","cohej101","","exhibition","9","10","KCM","IN9","y","both","","","1948"
"IN9194805021","CAG","IN9","NOL01","19480502","1","","day","","","","","","6500","","","","","","","","","","","","","","","ortir102","","","regular","4","1","CAG","IN9","","","","","1948"
"IN9194805022","CAG","IN9","NOL01","19480502","2","","day","","","","","","6500?","","","","","","","","","","","","","","","cabrl101","","","regular","1","4","IN9","CAG","","","","","1948"
"IN9194805030","CAG","IN9","NOL01","19480503","0","","night","","","","","","2000","","","","","","","","","","","","","","","","","","regular","9","7","CAG","IN9","","","","","1948"
"IN9194805050","CAG","IN9","CHT01","19480505","0","","","","","","","","3000","","","","","","","","","","","","","","","cathw101","rhodh101","","regular","3","5","IN9","CAG","y","both","","","1948"
"IN9194805070","CAG","IN9","IND10","19480507","0","","","","","","","","1050","","","","","","","","","","","","","","","cohej101","","","regular","3","12","IN9","CAG","","","","","1948"
"MEM194805091","IN9","MEM","MEM02","19480509","1","","day","","","","","","5200","","","","","","","","","","","","","","","mathv101","cathw101","","regular","3","5","MEM","IN9","y","both","","","1948"
"MEM194805092","IN9","MEM","MEM02","19480509","2","","day","","","","","","5200","","","","","","","","","","","","","","","cohej101","","","regular","5","2","IN9","MEM","y","both","","","1948"
"MEM194805110","IN9","MEM","GRE01","19480511","0","","night","","","","","","3000","","","","","","","","","","","","","","","","","","regular","3","4","MEM","IN9","","","","","1948"
"MEM194805120","IN9","MEM","MEM02","19480512","0","","night","","","","","","","","","","","","","","","","","","","","","","","","regular","6","6","","","y","both","","","1948"
"MEM194805130","IN9","MEM","LRK02","19480513","0","","night","","","","","","","","","","","","","","","","","","","","","","","","regular","9","9","","","y","both","","","1948"
"MEM194805140","IN9","MEM","MEM02","19480514","0","8:15pm","night","","","","","","2112","","","","","","","","","","","","","","","cathw101","","","regular","7","4","IN9","MEM","y","both","","","1948"
"BIR194805150","IN9","BIR","HUN01","19480515","0","","day","","","","","","1500","","","","","","","","","","","","","","","","","","regular","9","6","IN9","BIR","","","","","1948"
"BIR194805161","IN9","BIR","BIR01","19480516","1","0:00PM","day","","","false","","105","9374","unknown","unknown","unknown","0","unknown","-1","","","moorc901","willp103","","austu901","","","poweb103","cabrl101","","regular","0","5","BIR","IN9","y","both","y","y","1948"
"BIR194805162","IN9","BIR","BIR01","19480516","2","0:00PM","night","","","false","","80","9374","unknown","unknown","unknown","0","unknown","-1","","","moorc901","willp103","","austu901","","","newbj101","willj112","","regular","4","9","BIR","IN9","y","both","y","y","1948"
"BIR194805180","IN9","BIR","BIR01","19480518","0","0:00PM","night","","","false","","130","2816","unknown","unknown","unknown","0","unknown","-1","","","moorc901","austu901","","willp103","","","perra101","cohej101","","regular","3","9","BIR","IN9","y","both","y","y","1948"
"BIR194805190","IN9","BIR","NSH02","19480519","0","","night","","","","","","","","","","","","","","","","","","","","","polln102","cabrl101","","regular","3","9","BIR","IN9","","p","","","1948"
"IN9194805200","BIR","IN9","IND10","19480520","0","","night","","","","","","3370","","","","","","","","","","","","","","","poweb103","garca101","","regular","8","4","BIR","IN9","y","both","","","1948"
