"gid","visteam","hometeam","site","date","number","starttime","daynight","innings","tiebreaker","usedh","htbf","timeofgame","attendance","fieldcond","precip","sky","temp","winddir","windspeed","oscorer","forfeit","umphome","ump1b","ump2b","ump3b","umplf","umprf","wp","lp","save","gametype","vruns","hruns","wteam","lteam","line","batteries","lineups","box","season"
"PH5194105100","NY6","PH5","PHI17","19410510","0","","day","","","","","","3000","","","","","","","","","turnc101","cockp101","","","","","ruizs101","mcheh101","","regular","6","3","NY6","PH5","y","both","y","y","1941"
"NY5194105111","PH5","NY5","NYC16","19410511","1","","day","","","","","","20000","","","","","","","","","cockp101","devoj102","","","","","paigs101","fillj101","","regular","3","5","NY5","PH5","y","both","y","y","1941"
"NY5194105112","PH5","NY5","NYC16","19410511","2","","","","","","","","","","","","","","","","","cockp101","devoj102","","","","","brewc102","hollb106","","regular","4","1","PH5","NY5","y","both","y","y","1941"
"PH5194105120","NY5","PH5","CHE01","19410512","0","","night","","","","","","","","","","","","","","","turnc101","","cockp101","","","","stann101","buchc101","","regular","5","4","NY5","PH5","y","both","y","y","1941"
"PH5194105170","BLG","PH5","PHI17","19410517","0","","","","","","","","","","","","","","","","","","","","","","","byrdb101","mcheh101","","regular","9","4","BLG","PH5","y","both","y","y","1941"
"NW2194105181","PH5","NW2","NWK04","19410518","1","","day","","","","","","4000","","","","","","","","","turnc101","mccrf901","","","","","hillj104","mcheh101","","regular","2","5","NW2","PH5","y","both","y","y","1941"
"NW2194105182","PH5","NW2","NWK04","19410518","2","","day","7","","","","","4000","","","","","","","","","mccrf901","turnc101","","","","","hobgf101","walke103","","regular","4","5","NW2","PH5","y","both","y","y","1941"
"PH5194105190","NW2","PH5","CHE01","19410519","0","","night","","","","","","","","","","","","","","","joneu901","","","","","","hobgf101","millh104","","regular","12","7","NW2","PH5","y","both","y","y","1941"
"BLG194105220","PH5","BLG","BAL14","19410522","0","","","","","","","","","","","","","","","","","","","","","","","","","","regular","7","11","BLG","PH5","","","","","1941"
"PH5194105241","NY5","PH5","PHI17","19410524","1","","","","","","","135","1800","","","","","","","","","mccrf901","turnc101","","","","","mcheh101","rectc101","","regular","9","10","PH5","NY5","y","both","y","y","1941"
"PH5194105242","NY5","PH5","PHI17","19410524","2","","","","","","","90","1800","","","","","","","","","mccrf901","turnc101","","","","","stann101","fillj101","","regular","5","3","NY5","PH5","y","both","y","y","1941"
