GAMEID,DATE,DH,EJECTEE,EJECTEENAME,TEAM,JOB,UMPIRE,UMPIRENAME,INNING,REASON
CL6188905250,05/25/1889, ,orr-d101,"Dave Orr",CL6,P,goldf101,"Fred Goldsmith",-1,"Call at 3B"
BL2188905280,05/28/1889, ,tuckt103,"Tommy Tucker",BL2,P,gaffj801,"John Gaffney",-1,"Yelling at OF chasing fly"
WS8188906010,06/01/1889, ,ewinb101,"Buck Ewing",NY1,P,currw101,"Wes Curry",-1,"Obscene language"
WS8188907300,07/30/1889, ,ewinb101,"Buck Ewing",NY1,P,bakep101,"Phil Baker",-1,"Call at 1B"
LS2188908100,08/10/1889, ,raymh101,"Harry Raymond",LS2,P,goldf101,"Fred Goldsmith",-1,"Call at 2B"
BSN188909142,09/14/1889,2,faatj101,"Jay Faatz",CL4,P,currw101,"Wes Curry",-1,"Call at 1B"
BR3188909151,09/15/1889,1,shand101,"Dan Shannon",LS2,M,goldf101,"Fred Goldsmith",-1,"Call at HP"
IN3188909190,09/19/1889, ,hanln101,"Ned Hanlon",PIT,M,mcquj902,"Jack McQuaid",-1,"HBP call"
BR3188909230,09/23/1889, ,burno101,"Oyster Burns",BR3,P,henge801,"Ed Hengel",-1,"Call at 3B"
BR3188909230,09/23/1889, ,baldm101,"Mark Baldwin",CL6,P,henge801,"Ed Hengel",-1,"Balls and strikes"
KC2188909280,09/28/1889, ,hoovc101,"Charlie Hoover",KC2,P,heckg101,"Guy Hecker",-1,"Fighting with fan"
RC2189005210,05/21/1890, ,rosec101,"Chief Roseman",SL4,P,barng901,"George Barnum",-1,"Insisting on playing with old ball"
PH4189005231,05/23/1890,1,nichp101,"Parson Nicholson",TL2,P,dosch101,"Herm Doscher",-1,"Unknown reason"
PH4189005272,05/27/1890,2,mccat103,"Tommy McCarthy",SL4,P,odayl901,"Larry O'Dea",-1,"Unknown reason"
BFP189006141,06/14/1890,1,visnj101,"Joe Visner",PTP,P,barnr102,"Ross Barnes",-1,"Bench jockeying"
RC2189006141,06/14/1890,1,chilc101,"Cupid Childs",SR2,P,dosch101,"Herm Doscher",-1,"Unknown reason"
CHP189006170,06/17/1890, ,tebep101,"Patsy Tebeau",CLP,P,"","",-1,"Unknown reason"
PH4189006232,06/23/1890,2,welcc101,"Curt Welch",PH4,P,odayl901,"Larry O'Dea",-1,"Unknown reason"
PIT189007010,07/01/1890, ,glasj101,"Jack Glasscock",NY1,P,mcdes101,"Sandy McDermott",-1,"Call at 1B"
