PARKID,NAME,AKA,CITY,STATE,START,END,LEAGUE,NOTES
ALB01,Riverside Park,,Albany,NY,09/11/1880,05/30/1882,NL,"TRN:9/11/80;6/15&9/10/1881;5/16-5/18&5/30/1882"
ALT01,Columbia Park,,Altoona,PA,04/30/1884,05/31/1884,UA,""
ANA01,Angel Stadium of Anaheim,Edison Field; Anaheim Stadium,Anaheim,CA,04/19/1966,,AL,""
ARL01,Arlington Stadium,,Arlington,TX,04/21/1972,10/03/1993,AL,""
ARL02,Rangers Ballpark in Arlington,The Ballpark in Arlington; Ameriquest Fl,Arlington,TX,04/11/1994,09/29/2019,AL,""
ARL03,Globe Life Field in Arlington,,Arlington,TX,07/24/2020,,AL,""
ATL01,Atlanta-Fulton County Stadium,,Atlanta,GA,04/12/1966,09/23/1996,NL,""
ATL02,Turner Field,,Atlanta,GA,04/04/1997,10/02/2016,NL,""
ATL03,Suntrust Park,,Atlanta,GA,04/14/2017,,NL,""
BAL01,Madison Avenue Grounds,,Baltimore,MD,07/08/1871,07/08/1871,NA,"WS3"
BAL02,Newington Park,,Baltimore,MD,04/22/1872,09/30/1882,,"BL1:1872-74; BL4:1873; BL2: 1882"
BAL03,Oriole Park I,,Baltimore,MD,05/01/1883,10/10/1889,AA,""
BAL04,Belair Lot,,Baltimore,MD,04/17/1884,09/24/1884,UA,"BLU:not 8/25"
BAL05,Monumental Park,,Baltimore,MD,08/25/1884,08/25/1884,UA,"BLU"
BAL06,Oriole Park II,,Baltimore,MD,08/27/1890,05/09/1891,AA,""
BAL07,Oriole Park III,,Baltimore,MD,05/11/1891,10/10/1899,,"BL3:1891; BLN:1892-99"
BAL09,Oriole Park IV,American League Park,Baltimore,MD,04/26/1901,09/29/1902,AL,""
BAL10,Terrapin Park,Oriole Park V,Baltimore,MD,04/13/1914,10/02/1915,FL,""
BAL11,Memorial Stadium,,Baltimore,MD,04/15/1954,09/30/1991,AL,""
BAL12,Oriole Park at Camden Yards,,Baltimore,MD,04/06/1992,,AL,""
BOS01,South End Grounds I,Walpole Street Grounds,Boston,MA,05/16/1871,09/10/1887,,"BS1:1871-75; HR1: 8/12/1874; BSN:1876-1887"
BOS02,Dartmouth Grounds,Union Park,Boston,MA,04/30/1884,09/24/1884,UA,"BSU"
BOS03,South End Grounds II,,Boston,MA,05/25/1888,05/15/1894,NL,""
BOS04,Congress Street Grounds,,Boston,MA,04/19/1890,06/20/1894,,"BSP:1890; BS2:1891; BSN:5/16 to 6/20/1894"
BOS05,South End Grounds III,,Boston,MA,07/20/1894,08/11/1914,NL,""
BOS06,Huntington Avenue Baseball Grounds,,Boston,MA,05/08/1901,10/07/1911,AL,""
BOS07,Fenway Park,,Boston,MA,04/20/1912,,AL,"BOS:1912-date; BSN:9/7to9/29/1914;4/14to7/26/15"
BOS08,Braves Field,Bee Hive,Boston,MA,08/18/1915,09/21/1952,,""
BUF01,Riverside Grounds,,Buffalo,NY,05/01/1879,09/08/1883,NL,""
BUF02,Olympic Park I,,Buffalo,NY,05/21/1884,10/07/1885,NL,""
BUF03,Olympic Park II,,Buffalo,NY,04/19/1890,10/04/1890,PL,""
BUF04,International Fair Association Grounds,Federal League Park,Buffalo,NY,05/11/1914,09/29/1915,FL,""
BUF05,Sahlen Field,,Buffalo,NY,08/11/2020,,AL,"TOR 2020"
CAN01,Mahaffey Park,Pastime Park,Canton,OH,09/18/1890,06/21/1903,,"PIT 9/18/1890; CLE 6/15/02,5/10&6/21/03"
CAN02,Pastime Park,,Canton,OH,09/18/1890,09/18/1890,NL,"1 PIT game"
CHI01,Lake Front Park I,Union Base-ball Grounds,Chicago,IL,05/08/1871,09/29/1871,NA,""
CHI02,23rd Street Park,,Chicago,IL,05/29/1872,10/06/1877,,"CH2:1874-75; CHN:1876-77"
CHI03,Lake Front Park II,,Chicago,IL,05/14/1878,09/30/1882,NL,""
CHI04,Lake Front Park III,,Chicago,IL,05/05/1883,10/11/1884,NL,""
CHI05,South Side Park I,Cricket Club Grounds; Union Grounds,Chicago,IL,05/02/1884,08/01/1884,UA,""
CHI06,West Side Park,,Chicago,IL,06/06/1885,10/03/1891,NL,"CHN:1891(M/W/F)"
CHI07,South Side Park II,,Chicago,IL,04/30/1890,09/27/1893,,"CHP:1890;CHN:1891(Tu/Th/Sa);1892-93"
CHI08,West Side Grounds,,Chicago,IL,05/13/1893,10/03/1915,NL,"CHN:1893(Sun);1894-1915"
CHI09,South Side Park III,,Chicago,IL,04/24/1901,06/27/1910,AL,""
CHI10,Comiskey Park I,White Sox Park,Chicago,IL,07/01/1910,09/30/1990,AL,""
CHI11,Wrigley Field,Weeghman Park; Cubs Park,Chicago,IL,04/23/1914,,NL,"CHF:1914-15; CHN:1916-date"
CHI12,Guaranteed Rate Field;U.S. Cellular Field,White Sox Park; Comiskey Park II,Chicago,IL,04/18/1991,,AL,""
CIN01,Lincoln Park Grounds,Union Cricket Club Grounds,Cincinnati,OH,05/13/1871,07/22/1871,NA,"WS3:5/13&7/4/1871; CL1:7/22/1871"
CIN02,Avenue Grounds,,Cincinnati,OH,04/25/1876,08/27/1879,NL,"first Ladies Day (1876)"
CIN03,Bank Street Grounds,,Cincinnati,OH,05/01/1880,10/15/1884,,"CN1:1880; CN2:1882-83; CNU:1884"
CIN04,League Park I,,Cincinnati,OH,05/01/1884,09/29/1893,,"CN2:1884-89; CIN:1890-93"
CIN05,League Park II,,Cincinnati,OH,04/20/1894,10/02/1901,NL,""
CIN06,Palace of the Fans,League Park III,Cincinnati,OH,04/17/1902,10/06/1911,NL,""
CIN07,Crosley Field,Redland Field,Cincinnati,OH,04/11/1912,06/24/1970,NL,""
CIN08,Cinergy Field,Riverfront Stadium,Cincinnati,OH,06/30/1970,09/22/2002,NL,""
CIN09,Great American Ballpark,,Cincinnati,OH,03/31/2003,,NL,""
CLE01,National Association Grounds,,Cleveland,OH,05/11/1871,08/19/1872,NA,""
CLE02,League Park I,Kennard Street Park,Cleveland,OH,05/01/1879,10/11/1884,NL,""
CLE03,League Park II,American Association Park,Cleveland,OH,05/04/1887,10/04/1890,,"CL3:1887-88; CL4:1889-90"
CLE04,Brotherhood Park,Players League Park,Cleveland,OH,04/30/1890,10/04/1890,PL,""
CLE05,League Park III,National League Park III,Cleveland,OH,05/01/1891,09/06/1909,,"CL4:1891-99; CLE:1901-09"
CLE06,League Park IV,Dunn Field,Cleveland,OH,04/21/1910,09/21/1946,AL,"CLE:1910-7/30/1932;1934-46"
CLE07,Cleveland Stadium,Municipal Stadium,Cleveland,OH,07/31/1932,10/03/1993,AL,"CLE:7/31/1932-9/24/1933; 1947-1993"
CLE08,Progressive Field,Jacobs Field,Cleveland,OH,04/04/1994,,AL,""
CLE09,Cedar Avenue Driving Park,,Cleveland,OH,08/21/1887,08/21/1887,AA,"CL3: 1 game"
CLL01,Euclid Beach Park,,Collinwood,OH,06/12/1898,06/19/1898,NL,"CL4:6/12&6/19/1898"
COL01,Recreation Park I,,Columbus,OH,05/01/1883,09/22/1884,AA,""
COL02,Recreation Park II,,Columbus,OH,04/28/1889,09/22/1891,AA,""
COL03,Neil Park I,,Columbus,OH,08/03/1902,05/17/1903,AL,"CLE:2 games"
COL04,Neil Park II,,Columbus,OH,07/23/1905,07/24/1905,AL,"DET:2 games"
COV01,Star Baseball Park,,Covington,KY,09/21/1875,09/21/1875,NA,"PH2"
DAY01,Fairview Park,,Dayton,OH,06/08/1902,06/08/1902,AL,"CLE"
DEN01,Mile High Stadium,,Denver,CO,04/09/1993,08/11/1994,NL,""
DEN02,Coors Field,,Denver,CO,04/26/1995,,NL,""
DET01,Recreation Park,,Detroit,MI,05/02/1881,09/22/1888,NL,""
DET02,Bennett Park,,Detroit,MI,04/25/1901,09/10/1911,AL,""
DET03,Burns Park,West End Park,Detroit,MI,04/28/1901,09/07/1902,AL,"Sundays only"
DET04,Tiger Stadium,Navin Field; Briggs Stadium,Detroit,MI,04/20/1912,09/27/1999,AL,""
DET05,Comerica Park,,Detroit,MI,04/11/2000,,AL,""
DOV01,Fairview Park Fair Grounds,,Dover,DE,06/24/1875,06/24/1875,NA,"PH1"
DUN01,TD Ballpark,,Dunedin,FL,04/08/2021,05/24/2021,AL,"TOR"
DYE01,Field of Dreams,,Dyersville,IA,08/12/2021,,AL,""
ELM01,Maple Avenue Driving Park,,Elmira,NY,10/10/1885,10/10/1885,NL,"BFN"
FOR01,Grand Duchess,Hamilton Field,Fort Wayne,IN,05/04/1871,08/29/1871,NA,"First ML game"
FOR02,Swinney Park,,Fort Wayne,IN,10/24/1882,10/24/1882,NL,"Last game of playoffs (CHN & PRO)"
FOR03,Jailhouse Flats,,Fort Wayne,IN,06/22/1902,08/31/1902,AL,"CLE:2 games"
FTB01,Fort Bragg Field,,Fort Bragg,NC,07/03/2016,07/03/2016,NL,"ATL:1 game"
GEA01,Geauga Lake Grounds,,Geauga Lake,OH,09/02/1888,09/02/1888,AA,"CL3:1 game"
GLO01,Gloucester Point Grounds,,Gloucester City,NJ,08/05/1888,10/12/1890,AA,"Sundays; PH4 6/10/1888"
GLO02,Gloucester Fireworks Park,,Gloucester City,NJ,08/05/1888,08/26/1888,AA,"PH4 8/05/1888&08/08/26/1888"
GRA01,Ramona Park,,Grand Rapids,MI,05/24/1903,05/24/1903,AL,"DET"
HAR01,Harrison Field,,Harrison,NJ,04/16/1915,10/03/1915,FL,"NEW"
HON01,Aloha Stadium,,Honolulu,HI,04/19/1997,04/20/1997,NL,"SDN:4/19&4/19&4/20/1997"
HOU01,Colt Stadium,,Houston,TX,04/10/1962,09/27/1964,NL,""
HOU02,Astrodome,,Houston,TX,04/12/1965,10/03/1999,NL,""
HOU03,Minute Maid Park,Enron Field; Astros Field,Houston,TX,04/07/2000,,NL,""
HRT01,Hartford Ball Club Grounds,,Hartford,CT,05/01/1874,09/30/1876,,"HR1:1874-75; HAR:1876"
HRT02,Hartford Trotting Park,,Hartford,CT,06/21/1872,08/09/1872,NA,"MID: 6/21, 7/3, 8/9"
IND01,South Street Park,,Indianapolis,IN,05/01/1878,09/14/1878,NL,""
IND02,Seventh Street Park I,,Indianapolis,IN,05/14/1884,09/20/1884,AA,""
IND03,Bruce Grounds,,Indianapolis,IN,05/18/1884,09/21/1884,AA,"Sundays"
IND04,Seventh Street Park II,,Indianapolis,IN,04/28/1887,10/08/1887,NL,""
IND05,Seventh Street Park III,,Indianapolis,IN,04/20/1888,10/05/1889,NL,""
IND06,Indianapolis Park,,Indianapolis,IN,07/28/1890,08/02/1890,NL,"CL4"
IND07,Federal League Park,Washington Park,Indianapolis,IN,04/23/1914,10/08/1914,FL,""
IRO01,Windsor Beach,,Irondequoit,NY,05/11/1890,07/20/1890,AA,"RC2: Sundays"
JER01,Oakdale Park,,Jersey City,NJ,04/24/1889,04/25/1889,NL,"NY1: 2 games"
JER02,Roosevelt Stadium,,Jersey City,NJ,04/19/1956,09/03/1957,NL,"BRO: 7 gms (1956) & 8 gms (1957)"
KAN01,Athletic Park,,Kansas City,MO,06/07/1884,10/19/1884,UA,""
KAN02,Association Park,,Kansas City,MO,04/30/1886,10/15/1892,,"KCN:1886; KC2:1888; SLN 1892 (3 games)"
KAN03,Exposition Park,,Kansas City,MO,04/25/1889,09/30/1889,AA,""
KAN04,Gordon and Koppel Field,,Kansas City,MO,04/16/1914,09/28/1915,FL,""
KAN05,Municipal Stadium,,Kansas City,MO,04/12/1955,10/04/1972,AL,"KC1:1955-67; KCA:1969-1972"
KAN06,Kauffman Stadium,Royals Stadium,Kansas City,MO,04/10/1973,,AL,""
KEO01,Perry Park,Walte's Pasture,Keokuk,IA,05/04/1875,06/14/1875,NA,""
LAS01,Cashman Field,,Las Vegas,NV,04/01/1996,04/07/1996,AL,"OAK: 6 games"
LBV01,The Ballpark at Disney's Wide World,,Lake Buena Vista,FL,05/15/2007,04/24/2008,AL,"TBA 3 games in 2007"
LON01,London Stadium,,London,England,06/29/2019,06/30/2019,AL,""
LOS01,Los Angeles Memorial Coliseum,,Los Angeles,CA,04/18/1958,09/20/1961,NL,""
LOS02,Wrigley Field,,Los Angeles,CA,04/27/1961,10/01/1961,AL,""
LOS03,Dodger Stadium,Chavez Ravine,Los Angeles,CA,04/10/1962,,NL,"LAN:1962-prsnt; LAA:1962-9/2/65; CAL:9/2to9/22/65"
LOU01,Louisville Baseball Park,,Louisville,KY,04/25/1876,09/29/1877,NL,""
LOU02,Eclipse Park I,,Louisville,KY,05/05/1882,05/04/1893,,"LS2:1882-91; LS3:1892-93"
LOU03,Eclipse Park II,,Louisville,KY,05/22/1893,08/02/1899,NL,""
LOU04,Eclipse Park III,,Louisville,KY,08/22/1899,09/02/1899,NL,""
LUD01,Ludlow Baseball Park,,Ludlow,KY,09/22/1875,09/22/1875,NA,"PH2"
MAS01,Long Island Grounds,,Maspeth,NY,07/27/1890,08/03/1890,AA,"BR4: 2 games"
MIA01,Sun Life Stadium,JoeRobbie;ProPlayer;Dolphin;LandShark,Miami,FL,04/05/1993,09/28/2011,NL,""
MIA02,Marlins Park,,Miami,FL,04/04/2012,,NL,""
MID01,Mansfield Club Grounds,,Middletown,CT,05/02/1872,07/04/1872,NA,""
MIL01,Milwaukee Base-Ball Grounds,,Milwaukee,WI,05/14/1878,09/14/1878,NL,""
MIL02,Wright Street Grounds,,Milwaukee,WI,09/27/1884,09/25/1885,,"UA:1884; BFN:9/4/1885; PRO: 9/25/1885"
MIL03,Athletic Park,,Milwaukee,WI,09/10/1891,10/04/1891,AA,""
MIL04,Lloyd Street Grounds,,Milwaukee,WI,05/03/1901,09/12/1901,AL,""
MIL05,County Stadium,,Milwaukee,WI,04/14/1953,09/28/2000,,"MLN:1953-65; CHA:9gms(1968)&11gms(1969);MIL:70-00"
MIL06,Miller Park,,Milwaukee,WI,04/06/2001,,NL,""
MIN01,Athletic Park,,Minneapolis,MN,10/02/1891,10/02/1891,AA,"ML2"
MIN02,Metropolitan Stadium,,Bloomington,MN,04/21/1961,09/30/1981,AL,""
MIN03,Hubert H. Humphrey Metrodome,,Minneapolis,MN,04/06/1982,10/06/2009,AL,""
MIN04,Target Field,,Minneapolis,MN,04/12/2010,,AL,""
MNT01,Estadio Monterrey,,Monterrey,MX,08/16/1996,04/04/1999,NL,"SDN:8/16&8/17&8/18/1996; 4/4/1999"
MON01,Parc Jarry,Jarry Park,Montreal,QUE,04/14/1969,09/29/1976,NL,""
MON02,Stade Olympique,Olympic Stadium,Montreal,QUE,04/15/1977,09/29/2004,NL,""
NEW01,Howard Avenue Grounds,Brewster Park,New Haven,CT,04/21/1875,10/28/1875,NA,""
NEW02,Hamilton Park,,New Haven,CT,04/21/1875,04/21/1875,NA,""
NEW03,Beyerle's Park,Forest City Park,Newburgh Township,OH,07/22/1888,08/26/1888,AA,"CL3:7/22&7/29&8/26"
NWK01,Wiedenmeyer's Park,,Newark,NJ,07/17/1904,07/17/1904,AL,"NYA"
NYC01,Union Grounds,,Brooklyn,NY,05/09/1871,09/21/1877,,"NY2:1871-75;BR1:1872;BR2:1873-75;NY3:1876;HAR:1877"
NYC02,Capitoline Grounds,,Brooklyn,NY,05/06/1872,10/09/1872,NA,"BR2"
NYC03,Polo Grounds I (Southeast Diamond),,New York,NY,05/01/1883,10/13/1888,,"NY1:1883-88; NY4:7/17/1884-1885"
NYC04,Polo Grounds II (Southwest Diamond),,New York,NY,05/30/1883,10/25/1883,AA,""
NYC05,Washington Park I,,Brooklyn,NY,05/05/1884,05/04/1889,AA,"BR3"
NYC06,Metropolitan Park,,New York,NY,05/13/1884,08/23/1884,AA,""
NYC07,Grauer's Ridgewood Park,Ridgewood Park I,Queens,NY,05/02/1886,09/19/1886,AA,"BR3: Sundays (1886)"
NYC08,Washington Park II,,Brooklyn,NY,05/30/1889,10/03/1890,,"BR3:1889; BRO:1890"
NYC09,Polo Grounds III,,New York,NY,07/08/1889,09/13/1890,NL,""
NYC10,Polo Grounds IV,,New York,NY,04/19/1890,04/13/1911,,"NYP:1890; NY1:1891-1911"
NYC11,Eastern Park,,Brooklyn,NY,04/28/1890,10/02/1897,,"BRP:1890; BRO:1891-97"
NYC12,Washington Park III,,Brooklyn,NY,04/30/1898,11/01/1912,,"BRO:1898-1912"
NYC13,Hilltop Park,,New York,NY,04/30/1903,10/05/1912,,"NYA:1903-1912; NY1: 4/15 to 5/30/1911"
