PARKID,NAME,AKA,CITY,STATE,START,END,LEAGUE,NOTES
ACY01,Inlet Park,,Atlantic City,NJ,,,,
ACY02,New York Avenue Field,,Atlantic City,NJ,,,,
AKR01,League Park,,Akron,OH,,,,
ALB01,Riverside Park,,Albany,NY,09/11/1880,05/30/1882,NL,TRN:9/11/80;6/15&9/10/1881;5/16-5/18&5/30/1882
ALB02,Hawkins Stadium,,Albany,NY,,,,
ALB03,,,Albany,GA,,,,
ALE01,,,Alexandria,LA,,,,
ALT01,Columbia Park,,Altoona,PA,04/30/1884,05/31/1884,UA,
ALT02,Cricket Field,,Altoona,PA,,,,
ANA01,Angel Stadium of Anaheim,Edison Field; Anaheim Stadium,Anaheim,CA,4/19/1966,,AL,
ANN01,,,Anniston,AL,,,,
APP01,Spencer Park,,Appleton,WI,,,,
ARL01,Arlington Stadium,,Arlington,TX,4/21/1972,10/3/1993,AL,
ARL02,Rangers Ballpark in Arlington,The Ballpark in Arlington; Ameriquest Fl; Globe Life Park,Arlington,TX,4/11/1994,9/29/2019,AL,
ARL03,Globe Life Field in Arlington,,Arlington,TX,7/24/2020,,AL,
ARN01,Fairgrounds Park,,Arlington,NE,,,,
ATC01,,,Atchison,KS,,,,
ATH01,,,Athens,GA,,,,
ATL01,Atlanta-Fulton County Stadium,,Atlanta,GA,4/12/1966,9/23/1996,NL,
ATL02,Turner Field,,Atlanta,GA,4/4/1997,10/2/2016,NL,
ATL03,Truist Park,Suntrust Park,Atlanta,GA,4/14/2017,,NL,
ATL04,Ponce de Leon Park,,Atlanta,GA,,,,
ATL05,Harper Field,,Atlanta,GA,,,,
ATL06,Booker T. Washington High School Field,,Atlanta,GA,,,,
AUS01,Disch Field,,Austin,TX,,,,
AXC01,,,Alexander City,AL,,,,
BAK01,Sam Lynn Park,,Bakersfield,CA,,,,
BAL01,Madison Avenue Grounds,,Baltimore,MD,07/08/1871,07/08/1871,NA,WS3
BAL02,Newington Park,,Baltimore,MD,04/22/1872,09/30/1882,,BL1:1872-74; BL4:1873; BL2: 1882
BAL03,Oriole Park I,,Baltimore,MD,05/01/1883,10/10/1889,AA,
BAL04,Belair Lot,,Baltimore,MD,04/17/1884,09/24/1884,UA,BLU:not 8/25
BAL05,Monumental Park,,Baltimore,MD,08/25/1884,08/25/1884,UA,BLU
BAL06,Oriole Park II,,Baltimore,MD,08/27/1890,05/09/1891,AA,
BAL07,Oriole Park III,,Baltimore,MD,05/11/1891,10/10/1899,,BL3:1891; BLN:1892-99
BAL09,Oriole Park IV,American League Park,Baltimore,MD,4/26/1901,9/29/1902,AL,
BAL10,Terrapin Park,Oriole Park V,Baltimore,MD,4/13/1914,10/2/1915,FL,
BAL11,Memorial Stadium,,Baltimore,MD,4/15/1954,9/30/1991,AL,
BAL12,Oriole Park at Camden Yards,,Baltimore,MD,4/6/1992,,AL,
BAL13,Maryland Park,,Baltimore,MD,,,,
BAL14,Bugle Field,,Baltimore,MD,,,,
BAN01,,,Bangor,PA,,,,
BAT01,,,Baton Rouge,LA,,,,
BCK01,Bailey Park,,Battle Creek,MI,,,,
BEA01,Stuart Stadium,,Beaumont,TX,,,,
BEA02,,,Beaver Falls,PA,,,,
BEA03,Athletic Park,,Beatrice,NE,,,,
BEC01,RMI Park,,Beckley,WV,,,,
BEL01,Belleville Athletic Field,,Belleville,IL,,,,
BEL02,Belmar Memorial Field,,Belmar,NJ,,,,
BEL03,,,Belmont,NY,,,,
BGK01,Dixie Park,,Bowling Green,KY,,,,
BHM01,Colony Park,,Benton Harbor,MI,,,,
BIR01,Rickwood Field ,,Birmingham,AL,,,,
BIS01,Bismarck Municipal Ballpark,,Bismarck,ND,,,,
BLO01,Bloomsburg Fair Grounds,,Bloomsburg,PA,,,,
BLU01,Blakely Field,,Bluefield,WV,,,,
BLY01,Bailey's Park,,Blytheville,AR,,,,
BOG01,,,Bogalusa,LA,,,,
BOS01,South End Grounds I,Walpole Street Grounds,Boston,MA,05/16/1871,09/10/1887,,BS1:1871-75; HR1: 8/12/1874; BSN:1876-1887
BOS02,Dartmouth Grounds,Union Park,Boston,MA,04/30/1884,09/24/1884,UA,BSU
BOS03,South End Grounds II,,Boston,MA,05/25/1888,05/15/1894,NL,
BOS04,Congress Street Grounds,,Boston,MA,04/19/1890,06/20/1894,,BSP:1890; BS2:1891; BSN:5/16 to 6/20/1894
BOS05,South End Grounds III,,Boston,MA,07/20/1894,8/11/1914,NL,
BOS06,Huntington Avenue Baseball Grounds,,Boston,MA,5/8/1901,10/7/1911,AL,
BOS07,Fenway Park,,Boston,MA,4/20/1912,,AL,BOS:1912-date; BSN:9/7to9/29/1914;4/14to7/26/15
BOS08,Braves Field,Bee Hive,Boston,MA,8/18/1915,9/21/1952,,
BRA01,Bradley Beach Field,,Bradley Beach,NJ,,,,
BRA02,,,Brandon,MAN,,,,
BRI01,Candlelite Stadium,,Bridgeport,CT,,,,
BST01,Bristol Motor Speedway,,Bristol,TN,,,,
BUF01,Riverside Grounds,,Buffalo,NY,05/01/1879,09/08/1883,NL,
BUF02,Olympic Park I,,Buffalo,NY,05/21/1884,10/07/1885,NL,
BUF03,Olympic Park II,,Buffalo,NY,04/19/1890,10/04/1890,PL,
BUF04,International Fair Association Grounds,Federal League Park,Buffalo,NY,5/11/1914,9/29/1915,FL,
BUF05,Sahlen Field,,Buffalo,NY,8/11/2020,,AL,TOR 2020
BUF06,Offermann Stadium,,Buffalo,NY,,,,
BUT01,,,Butler,PA,,,,
CAI01,,,Cairo,IL,,,,
CAM01,Third Street and Erie Avenue Grounds,,Camden,NJ,,,,
CAM02,Twelfth and Federal St.,,Camden,NJ,,,,
CAM03,,,Cambridge,MD,,,,
CAM04,Broadway & Everett St.,,Camden,NJ,,,,
CAN01,Mahaffey Park,Pastime Park,Canton,OH,09/18/1890,6/21/1903,,PIT 9/18/1890; CLE 6/15/02&5/10&6/21/03
CAN02,Pastime Park,,Canton,OH,09/18/1890,09/18/1890,NL,1 PIT game
CAN03,Lakeside Park,,Canton,OH,,,,
CAN04,,,Canton,IL,,,,
CBI01,American Legion Park,,Council Bluffs,IA,,,,
CED01,Hill Park,,Cedar Rapid,IA,,,,
CEN01,Fans Field,,Centralia,IL,,,,
CHA01,Kanawha Park,,Charleston,WV,,,,
CHA02,Henninger Field,,Chambersburg,PA,,,,
CHA03,Griffith Park,,Charlotte,NC,,,,
CHE01,Lloyd Field,,Chester,PA,,,,
CHE02,Elks Park,,Chester,PA,,,,
CHE03,Felton Field,,Chester,PA,,,,
CHI01,Lake Front Park I,Union Base-ball Grounds,Chicago,IL,05/08/1871,09/29/1871,NA,
CHI02,23rd Street Park,,Chicago,IL,05/29/1872,10/06/1877,,CH2:1874-75; CHN:1876-77
CHI03,Lake Front Park II,,Chicago,IL,05/14/1878,09/30/1882,NL,
CHI04,Lake Front Park III,,Chicago,IL,05/05/1883,10/11/1884,NL,
CHI05,South Side Park I,Cricket Club Grounds; Union Grounds,Chicago,IL,05/02/1884,08/01/1884,UA,
CHI06,West Side Park,,Chicago,IL,06/06/1885,10/03/1891,NL,CHN:1891(M/W/F)
CHI07,South Side Park II,,Chicago,IL,04/30/1890,09/27/1893,,CHP:1890;CHN:1891(Tu/Th/Sa);1892-93
CHI08,West Side Grounds,,Chicago,IL,05/13/1893,10/3/1915,NL,CHN:1893(Sun);1894-1915
CHI09,South Side Park III,Schorling Park,Chicago,IL,4/24/1901,6/27/1910,AL,
CHI10,Comiskey Park I,White Sox Park,Chicago,IL,7/1/1910,9/30/1990,AL,
CHI11,Wrigley Field,Weeghman Park; Cubs Park,Chicago,IL,4/23/1914,,NL,CHF:1914-15; CHN:1916-date
CHI12,Guaranteed Rate Field;U.S. Cellular Field,White Sox Park; Comiskey Park II,Chicago,IL,4/18/1991,,AL,
CHI15,Mills Stadium,,Chicago,IL,,,,
CHI16,Shrewbridge Field,,Chicago,IL,,,,
CHN01,,,Chanute,KS,,,,
CHT01,Engel Stadium,,Chattanooga,TN,,,,
CIN01,Lincoln Park Grounds,Union Cricket Club Grounds,Cincinnati,OH,05/13/1871,07/22/1871,NA,WS3:5/13&7/4/1871; CL1:7/22/1871
CIN02,Avenue Grounds,,Cincinnati,OH,04/25/1876,08/27/1879,NL,first Ladies Day (1876)
CIN03,Bank Street Grounds,,Cincinnati,OH,05/01/1880,10/15/1884,,CN1:1880; CN2:1882-83; CNU:1884
CIN04,League Park I,,Cincinnati,OH,05/01/1884,09/29/1893,,CN2:1884-89; CIN:1890-93
CIN05,League Park II,,Cincinnati,OH,04/20/1894,10/2/1901,NL,
CIN06,Palace of the Fans,League Park III,Cincinnati,OH,4/17/1902,10/6/1911,NL,
CIN07,Crosley Field,Redland Field,Cincinnati,OH,4/11/1912,6/24/1970,NL,
CIN08,Cinergy Field,Riverfront Stadium,Cincinnati,OH,6/30/1970,9/22/2002,NL,
CIN09,Great American Ballpark,,Cincinnati,OH,3/31/2003,,NL,
CIN10,Redland Field,,Cincinnati,OH,,,,
CLA01,,,Clarksdale,MS,,,,
CLC01,Simpson Park,,Chillicothe,MO,,,,
CLE01,National Association Grounds,,Cleveland,OH,05/11/1871,08/19/1872,NA,
CLE02,League Park I,Kennard Street Park,Cleveland,OH,05/01/1879,10/11/1884,NL,
CLE03,League Park II,American Association Park,Cleveland,OH,05/04/1887,10/04/1890,,CL3:1887-88; CL4:1889-90
CLE04,Brotherhood Park,Players League Park,Cleveland,OH,04/30/1890,10/04/1890,PL,
CLE05,League Park III,National League Park III,Cleveland,OH,05/01/1891,9/6/1909,,CL4:1891-99; CLE:1901-09
CLE06,League Park IV,Dunn Field,Cleveland,OH,4/21/1910,9/21/1946,AL,CLE:1910-7/30/1932;1934-46
CLE07,Cleveland Stadium,Municipal Stadium,Cleveland,OH,7/31/1932,10/3/1993,AL,CLE:7/31/1932-9/24/1933; 1947-1993
CLE08,Progressive Field,Jacobs Field,Cleveland,OH,4/4/1994,,AL,
CLE09,Cedar Avenue Driving Park,,Cleveland,OH,08/21/1887,08/21/1887,AA,CL3: 1 game
CLE10,Cubs Stadium,,Cleveland,OH,,,,
CLE11,Kinsman Hardware Field,,Cleveland,OH,,,,
CLE12,Hooper Field,,Cleveland,OH,,,,
CLE13,Luna Bowl,,Cleveland,OH,,,,
CLE14,Tate Field,,Cleveland,OH,,,,
CLL01,Euclid Beach Park,,Collinwood,OH,06/12/1898,06/19/1898,NL,CL4:6/12&6/19/1898
CLP01,Driving Park,,Clearfield,PA,,,,
CMB01,,,Columbia,MO,,,,
COL01,Recreation Park I,,Columbus,OH,05/01/1883,09/22/1884,AA,
COL02,Recreation Park II,,Columbus,OH,04/28/1889,09/22/1891,AA,
COL03,Neil Park I,,Columbus,OH,8/3/1902,5/17/1903,AL,CLE:2 games
COL04,Neil Park II,,Columbus,OH,7/23/1905,7/24/1905,AL,DET:2 games
COL05,Red Bird Stadium,,Columbus,OH,,,,
COL06,Golden Park,,Columbus,GA,,,,
COL07,,,Columbus,MS,,,,
COR01,Firemens Ball Park,,Corpus Christi,TX,,,,
COV01,Star Baseball Park,,Covington,KY,09/21/1875,09/21/1875,NA,PH2
COV02,Covington Park,,Covington,KY,,,,
CRA01,Dean Park,,Crawfordsville,IN,,,,
CUM01,,,Cumberland,MD,,,,
DAL01,Rebel Stadium,,Dallas,TX,,,,
DAL02,Burnett Field,,Dallas,TX,,,,
DAN01,Garfield Stadium,,Danville,IL,,,,
DAN02,Peters Park,,Danville,VA,,,,
DAR01,Hilldale Park,,Darby,PA,,,,
DAV01,Municipal Stadium,,Davenport,IA,,,,
DAV02,Milan Park,,Davenport,IA,,,,
DAY01,Fairview Park,,Dayton,OH,6/8/1902,6/8/1902,AL,CLE
DAY02,Westwood Field,,Dayton,OH,,,,
DAY03,Hudson Field,Ducks Park,Dayton,OH,,,,
DCA01,Legion Field,,Decatur,AL,,,,
DCT01,Staley Field,,Decatur,IL,,,,
DCT02,Fans Field,,Decatur,IL,,,,
DEF01,Kingsbury Park,,Defiance,OH,,,,
DEN01,Mile High Stadium,,Denver,CO,4/9/1993,8/11/1994,NL,
DEN02,Coors Field,,Denver,CO,4/26/1995,,NL,
DEN03,Merchants Park,,Denver,CO,,,,
DES01,League Park,,Des Moines,IA,,,,
